Municipios	Sexo	Periodo	Total
28123 Rivas-Vaciamadrid	Mujeres	2022	48.801
28124 Robledillo de la Jara	Total	2022	114
28124 Robledillo de la Jara	Hombres	2022	59
28124 Robledillo de la Jara	Mujeres	2022	55
28125 Robledo de Chavela	Total	2022	4.587
28125 Robledo de Chavela	Hombres	2022	2.400
28125 Robledo de Chavela	Mujeres	2022	2.187
28126 Robregordo	Total	2022	70
28126 Robregordo	Hombres	2022	39
28126 Robregordo	Mujeres	2022	31
28127 Rozas de Madrid, Las	Total	2022	95.725
28127 Rozas de Madrid, Las	Hombres	2022	46.232
28127 Rozas de Madrid, Las	Mujeres	2022	49.493
28128 Rozas de Puerto Real	Total	2022	577
28128 Rozas de Puerto Real	Hombres	2022	336
28128 Rozas de Puerto Real	Mujeres	2022	241
28129 San Agustín del Guadalix	Total	2022	13.608
28129 San Agustín del Guadalix	Hombres	2022	6.636
28129 San Agustín del Guadalix	Mujeres	2022	6.972
28130 San Fernando de Henares	Total	2022	38.904
28130 San Fernando de Henares	Hombres	2022	18.960
28130 San Fernando de Henares	Mujeres	2022	19.944
28131 San Lorenzo de El Escorial	Total	2022	18.423
28131 San Lorenzo de El Escorial	Hombres	2022	8.811
28131 San Lorenzo de El Escorial	Mujeres	2022	9.612
28132 San Martín de la Vega	Total	2022	19.927
28132 San Martín de la Vega	Hombres	2022	10.128
28132 San Martín de la Vega	Mujeres	2022	9.799
28133 San Martín de Valdeiglesias	Total	2022	8.812
28133 San Martín de Valdeiglesias	Hombres	2022	4.383
28133 San Martín de Valdeiglesias	Mujeres	2022	4.429
28134 San Sebastián de los Reyes	Total	2022	91.083
28134 San Sebastián de los Reyes	Hombres	2022	44.203
28134 San Sebastián de los Reyes	Mujeres	2022	46.880
28135 Santa María de la Alameda	Total	2022	1.499
28135 Santa María de la Alameda	Hombres	2022	802
28135 Santa María de la Alameda	Mujeres	2022	697
28136 Santorcaz	Total	2022	941
28136 Santorcaz	Hombres	2022	473
28136 Santorcaz	Mujeres	2022	468
28137 Santos de la Humosa, Los	Total	2022	2.751
28137 Santos de la Humosa, Los	Hombres	2022	1.414
28137 Santos de la Humosa, Los	Mujeres	2022	1.337
28138 Serna del Monte, La	Total	2022	108
28138 Serna del Monte, La	Hombres	2022	59
28138 Serna del Monte, La	Mujeres	2022	49
28140 Serranillos del Valle	Total	2022	4.509
28140 Serranillos del Valle	Hombres	2022	2.218
28140 Serranillos del Valle	Mujeres	2022	2.291
28141 Sevilla la Nueva	Total	2022	9.361
28141 Sevilla la Nueva	Hombres	2022	4.599
28141 Sevilla la Nueva	Mujeres	2022	4.762
28143 Somosierra	Total	2022	87
28143 Somosierra	Hombres	2022	50
28143 Somosierra	Mujeres	2022	37
28144 Soto del Real	Total	2022	9.188
28144 Soto del Real	Hombres	2022	4.522
28144 Soto del Real	Mujeres	2022	4.666
28145 Talamanca de Jarama	Total	2022	4.210
